Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945545136, 30, -10, 0, -7.48, 0.15, 124
1491945545207, 68, -12, 0, -6.74, -0.21, 125
1491945545276, 64, -12, 0, -4.25, 0.39, 128
1491945545366, 88, -10, 0, -2.08, -0.29, 129
1491945545471, 104, -1, 0, 8.04, -0.35, 139
1491945545565, 92, 3, 0, 5.93, -0.30, 137
1491945545642, 75, 7, 0, 6.82, -0.43, 138
1491945545704, 58, 4, 0, -0.86, -0.74, 130
1491945545772, 66, 0, 0, -4.90, -0.88, 126
1491945545808, 35, -7, 0, -10.33, 0.33, 122
1491945545902, 94, -15, 2, -14.15, 4.93, 122
1491945545972, 69, -16, 3, -7.39, 5.37, 129
1491945546033, 59, -14, 6, -4.17, 9.99, 137
1491945546110, 77, 2, 12, 18.74, 19.04, 169
1491945546174, 62, 10, 15, 11.63, 17.38, 161
1491945546268, 93, 26, 18, 26.68, 21.69, 180
1491945546358, 89, 33, 21, 20.61, 25.04, 177
1491945546432, 73, 48, 21, 33.90, 20.40, 186
1491945546511, 74, 51, 20, 23.18, 19.45, 174
1491945546594, 74, 52, 19, 22.31, 17.84, 172
1491945546643, 48, 51, 18, 19.67, 17.49, 169
1491945546722, 79, 53, 17, 23.92, 17.69, 173
1491945546770, 48, 54, 18, 22.83, 18.15, 172
1491945546850, 78, 56, 20, 23.91, 23.89, 179
1491945546914, 63, 63, 21, 32.47, 22.52, 186
1491945546975, 52, 69, 26, 34.20, 30.57, 196
1491945547089, 113, 69, 26, 27.86, 26.16, 186
1491945547142, 50, 76, 27, 37.96, 28.39, 198
1491945547230, 87, 81, 25, 37.89, 24.63, 194
1491945547302, 71, 72, 27, 19.62, 29.09, 180
1491945547356, 51, 61, 28, 13.63, 28.77, 174
1491945547442, 86, 50, 30, 8.70, 31.95, 172
1491945547507, 64, 51, 30, 21.45, 29.96, 183
1491945547585, 76, 69, 27, 45.57, 24.10, 201
1491945547627, 40, 81, 27, 45.62, 27.08, 204
1491945547697, 70, 86, 27, 39.82, 27.95, 199
1491945547779, 79, 86, 27, 34.79, 27.51, 194
1491945547842, 62, 87, 28, 35.77, 29.60, 197
1491945547913, 70, 83, 28, 29.59, 27.83, 189
1491945547949, 33, 75, 29, 21.49, 30.02, 183
1491945548043, 93, 63, 29, 13.05, 30.20, 175
1491945548129, 85, 66, 27, 29.97, 25.00, 186
1491945548219, 89, 70, 25, 32.06, 23.55, 187
