Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491940382193, 36, -3, -2, -3.92, -2.59, 125
1491940382284, 90, -5, -3, -12.17, -4.23, 115
1491940382340, 55, -20, -1, -56.32, 0.68, 76
1491940382395, 52, -28, 0, -63.62, -0.31, 68
1491940382464, 68, -51, 0, -127.14, 2.29, 7
1491940382532, 58, -43, 1, -78.52, 2.50, 55
1491940382611, 70, -35, 1, -62.05, 2.00, 71
1491940382681, 69, -27, 2, -48.65, 2.44, 85
1491940382774, 91, -21, 1, -37.82, 0.03, 94
1491940382838, 61, -13, 0, -18.73, 0.52, 113
1491940382914, 75, -10, 0, -18.07, 0.37, 114
1491940382970, 54, -1, 0, 6.22, 1.40, 139
1491940383056, 85, 0, 0, 4.32, 0.42, 136
1491940383132, 75, 2, 0, 8.01, 0.32, 140
1491940383173, 40, 8, 1, 23.67, 1.70, 157
1491940383268, 94, 11, 0, 26.86, -0.59, 158
1491940383318, 50, 11, 0, 23.99, 0.25, 156
1491940383411, 92, 7, 0, 11.81, -0.18, 143
1491940383454, 43, 6, 0, 11.63, 0.07, 143
1491940383538, 79, 0, 0, -3.80, 1.61, 129
1491940383611, 72, 0, 0, -3.85, 0.23, 128
1491940383665, 51, -4, 0, -13.70, 0.38, 118
1491940383727, 50, -5, 0, -12.93, 0.10, 119
1491940383760, 31, -5, 0, -11.10, -0.86, 120
1491940383857, 96, -2, 0, -3.20, -0.44, 128
1491940383947, 89, 1, 0, 7.43, -0.15, 139
1491940384024, 75, 8, 0, 25.22, -0.37, 156
1491940384076, 43, 11, 0, 26.42, -0.94, 157
1491940384177, 99, 12, 0, 24.34, 0.34, 156
1491940384230, 51, 6, 0, 8.96, -0.18, 140
1491940384281, 42, 3, 0, 2.89, -0.30, 134
1491940384360, 74, -7, 1, -27.13, 2.42, 107
1491940384426, 65, -18, 0, -46.51, 0.78, 86
1491940384495, 69, -19, 0, -39.16, 0.17, 93
1491940384565, 70, -12, 0, -16.97, -0.98, 114
1491940384618, 51, -5, -1, -3.06, -1.89, 127
1491940384712, 93, 21, -2, 68.56, -4.02, 196
1491940384763, 49, 27, -3, 61.82, -4.07, 189
1491940384827, 63, 37, -3, 83.40, -3.28, 212
1491940384918, 89, 14, -1, 6.21, -0.06, 138
1491940385001, 78, 1, 0, -9.60, 1.13, 123
1491940385036, 34, -34, 1, -105.33, 2.61, 29
1491940385165, 127, -59, 2, -144.36, 3.12, 0
1491940385263, 98, -48, 1, -86.58, 0.36, 45
1491940385314, 50, -26, 0, -32.11, -0.28, 99
1491940385409, 94, 15, -1, 72.75, -3.32, 201
1491940385488, 78, 112, -2, 322.25, -2.91, 255
1491940385538, 40, 112, -2, 225.01, -2.16, 255
1491940385627, 88, 123, -1, 259.03, -1.29, 255
1491940385701, 73, 123, -1, 247.69, -1.73, 255
1491940385762, 52, 90, -6, 147.09, -10.65, 255
1491940385855, 91, 38, -8, 25.03, -9.85, 147
1491940385928, 72, 38, -8, 76.89, -8.02, 200
1491940386011, 82, 38, -8, 76.89, -8.02, 200
1491940386078, 65, -60, 0, -220.00, 6.51, 0
1491940386205, 125, -60, 0, -121.03, -0.76, 10
1491940386289, 83, -60, 0, -121.03, -0.76, 10
1491940386356, 66, -60, 0, -121.03, -0.76, 10
1491940386418, 61, -60, 0, -121.03, -0.76, 10
1491940386499, 79, -60, 0, -121.03, -0.76, 10
1491940386564, 64, -54, 1, -103.24, 3.12, 31
1491940386658, 84, -15, 2, 7.73, 3.89, 143
1491940386744, 84, 31, 1, 110.55, -0.25, 242
1491940386815, 69, 61, 0, 154.10, -2.47, 255
1491940386881, 65, 114, 7, 281.12, 15.20, 255
1491940386945, 60, 115, 9, 233.53, 11.97, 255
1491940387023, 73, 114, 6, 228.99, 2.78, 255
1491940387102, 78, 86, 3, 145.31, 1.46, 255
1491940387159, 57, 60, 4, 96.10, 5.58, 233
1491940387224, 64, 47, 5, 80.39, 5.61, 218
1491940387286, 61, 0, 6, -44.82, 7.99, 95
1491940387347, 58, 0, 6, 1.53, 6.57, 140
1491940387428, 80, 0, 6, 1.53, 6.57, 140
1491940387524, 94, 0, 6, 1.53, 6.57, 140
1491940387569, 45, 0, 6, 1.53, 6.57, 140
