Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945936691, 53, 71, 27, 33.12, 27.63, 192
1491945936723, 31, 72, 28, 30.73, 29.12, 191
1491945936800, 75, 73, 28, 30.15, 29.01, 191
1491945936884, 80, 74, 28, 30.16, 28.68, 190
1491945936963, 77, 70, 29, 24.77, 30.26, 187
1491945937036, 72, 68, 29, 25.25, 29.93, 187
1491945937085, 48, 74, 25, 35.51, 20.39, 187
1491945937148, 62, 65, 25, 17.34, 26.38, 175
1491945937231, 75, 60, 26, 18.99, 26.85, 177
1491945937281, 50, 58, 26, 21.03, 27.25, 180
1491945937368, 86, 64, 26, 31.67, 26.50, 190
1491945937446, 77, 69, 26, 33.80, 27.34, 193
1491945937534, 87, 73, 26, 33.41, 25.70, 191
1491945937611, 77, 72, 25, 28.29, 25.09, 185
1491945937685, 72, 69, 28, 24.73, 31.87, 188
1491945937745, 59, 66, 22, 23.44, 16.12, 171
1491945937803, 58, 66, 18, 25.83, 13.95, 171
1491945937841, 37, 65, 13, 25.76, 8.91, 166
1491945937926, 84, 56, 9, 13.01, 4.60, 149
1491945938031, 105, 56, 7, 23.42, 5.12, 160
1491945938083, 49, 49, 2, 13.02, -1.32, 143
1491945938171, 87, 46, 0, 15.45, -1.49, 145
1491945938234, 62, 42, 0, 12.75, -0.42, 144
1491945938272, 38, 40, 0, 14.53, -1.09, 145
1491945938362, 88, 35, -1, 8.59, -2.00, 138
1491945938414, 49, 32, -2, 9.94, -3.06, 138
1491945938474, 59, 32, -2, 12.90, -2.15, 142
1491945938530, 55, 20, -2, -3.33, -2.95, 125
1491945938606, 75, 16, -2, 2.12, -2.20, 131
1491945938658, 51, 5, -2, -9.04, -1.70, 121
1491945938740, 82, 1, -1, -3.54, -0.64, 127
1491945938816, 75, 2, -1, 1.79, -1.17, 132
1491945938879, 62, 4, -1, 4.31, -2.18, 134
1491945938928, 35, 9, -2, 8.47, -2.31, 138
1491945939041, 112, 10, -1, 4.75, -1.53, 135
1491945939109, 66, 10, -1, 4.69, -1.57, 135
1491945939140, 31, 4, -1, -4.76, -0.79, 126
1491945939239, 98, -3, 0, -9.39, 0.06, 122
1491945939309, 68, -10, 0, -11.00, -0.21, 120
1491945939377, 67, -12, 0, -6.34, -0.11, 125
1491945939447, 70, -9, 0, -1.85, -0.45, 129
1491945939494, 46, -6, 0, 0.59, 0.01, 132
1491945939546, 50, -4, 0, 0.22, -0.24, 131
1491945939605, 58, -2, 0, 0.58, -0.37, 132
1491945939673, 67, 1, 0, 4.49, -0.18, 136
1491945939737, 63, 1, 0, 1.40, -0.51, 132
1491945939815, 76, 3, 0, 2.47, -0.49, 133
1491945939874, 58, 0, 0, -2.36, -0.32, 129
1491945939949, 74, 0, 0, -1.84, -0.27, 129
1491945939993, 44, -3, 0, -4.49, 0.02, 127
1491945940098, 104, -7, 0, -7.00, 0.29, 125
1491945940152, 52, -8, 0, -3.62, 0.22, 128
1491945940211, 59, -8, 0, -4.14, 0.66, 128
1491945940264, 52, -8, 0, -3.51, 0.40, 128
1491945940327, 61, -5, 0, 0.85, 0.30, 133
1491945940396, 68, -3, 0, 0.75, -0.11, 132
1491945940450, 54, 0, 0, 3.51, -0.56, 134
1491945940522, 59, 1, 0, 1.47, 0.05, 133
1491945940573, 50, 0, 0, -0.51, 0.04, 131
1491945940631, 53, 0, 0, -0.33, -0.66, 131
1491945940663, 31, 0, 0, 0.07, -0.09, 131
1491945940754, 91, -2, 0, -3.20, 0.11, 128
1491945940821, 66, -2, 0, -1.83, -0.17, 129
1491945940854, 32, -4, 0, -3.35, 0.73, 129
1491945940943, 89, -6, 0, -3.94, 0.23, 128
1491945941019, 75, -5, 0, -2.26, 0.34, 130
1491945941051, 32, -6, 0, -3.79, 0.72, 128
1491945941157, 104, -6, 0, -2.82, 0.53, 129
1491945941229, 69, -7, 0, -3.80, 0.96, 129
1491945941274, 44, -7, 0, -2.50, 0.48, 129
1491945941340, 65, -7, 0, -2.81, 1.03, 130
1491945941405, 65, -8, 0, -4.01, 0.99, 128
1491945941481, 74, -8, 0, -3.25, 0.34, 129
1491945941560, 78, -8, 0, -4.48, 0.86, 128
1491945941614, 53, -9, 0, -3.72, 0.54, 128
1491945941684, 54, -9, 0, -3.70, 0.64, 128
1491945941736, 51, -9, 0, -4.22, 0.91, 128
1491945941814, 76, -11, 0, -6.15, 1.21, 127
1491945941861, 45, -10, 0, -3.21, 0.77, 129
1491945941936, 74, -11, 0, -6.15, 1.06, 126
1491945942004, 66, -11, 0, -4.75, 1.02, 128
1491945942063, 58, -10, 0, -2.48, 0.59, 130
1491945942127, 62, -9, 0, -3.66, 1.18, 129
1491945942199, 71, -9, 0, -3.63, 0.73, 129
1491945942257, 57, -7, 0, -1.12, 0.97, 131
1491945942314, 49, -7, 0, -2.21, 0.49, 130
1491945942372, 56, -6, 0, -1.35, 0.33, 130
1491945942472, 99, -4, 0, 0.38, 0.78, 133
1491945942534, 60, -2, 0, 0.85, -0.04, 132
1491945942564, 29, -1, 0, -0.06, 0.60, 132
1491945942655, 91, 0, 0, 1.62, -1.58, 132
1491945942698, 41, 1, -1, 1.62, -1.81, 131
1491945942785, 85, -1, 0, -3.24, -0.23, 128
1491945942826, 41, -2, 0, -1.77, -0.46, 129
1491945942953, 126, -4, 0, -3.73, -0.16, 128
1491945943033, 78, -6, 0, -4.89, -0.21, 126
1491945943077, 43, -7, 0, -4.48, -0.09, 127
1491945943171, 93, -10, 0, -6.48, 0.24, 125
1491945943250, 78, -9, 0, -3.53, -0.19, 128
1491945943310, 58, -9, 0, -3.29, 0.42, 129
1491945943373, 62, -11, 0, -6.20, 1.50, 127
1491945943447, 73, -7, 0, 0.77, 0.83, 133
1491945943484, 36, -5, 0, 0.31, -0.19, 132
1491945943592, 106, 2, 0, 8.85, -0.87, 139
1491945943657, 57, 3, 0, 1.53, -0.03, 133
1491945943692, 34, 3, 0, 1.65, 0.21, 133
1491945943773, 80, 2, 2, 0.01, 5.49, 137
1491945943837, 64, 0, 3, -3.67, 5.16, 133
1491945943875, 37, -3, 5, -3.56, 6.57, 135
1491945943964, 88, -4, 10, -3.19, 15.51, 144
1491945944010, 45, -3, 11, -0.05, 13.45, 145
1491945944088, 77, 3, 17, 8.62, 23.26, 163
1491945944151, 54, 10, 20, 11.37, 23.07, 166
1491945944256, 104, 21, 22, 18.74, 25.42, 176
1491945944305, 47, 23, 22, 12.23, 22.82, 167
1491945944392, 86, 30, 22, 18.66, 21.66, 172
1491945944459, 64, 34, 21, 18.19, 20.80, 170
1491945944534, 64, 38, 20, 19.84, 20.41, 172
1491945944573, 38, 41, 20, 19.55, 19.95, 171
1491945944650, 76, 51, 19, 29.73, 17.75, 179
